player_id,player_name,positions,def_ff,def_fr,def_pd,def_sacks,def_tackles,fg_att,fg_made,gp,kr_no,kr_td,kr_yds,pass_att,pass_cmp,pass_int,pass_td,pass_yds,pat_att,pat_made,pr_no,pr_td,pr_yds,punt_no,punt_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
gian-de-guzman,Gian De Guzman,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,
gideon-grabert,Gideon Grabert,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,
giorgio-tavecchio,Giorgio Tavecchio,K,,,,,,9.0,6.0,6.0,,,,,,,,,15.0,12.0,,,,4.0,145.0,,,,,,
giovanni-nanguy,Giovanni Nanguy,DL/LB,1.0,,1.0,3.0,10.0,,,4.0,,,,,,,,,,,,,,,,,,,,,
glody-ngovo,Glody Ngovo,RB,,,,,4.0,,,10.0,,,,,,,,,,,,,,,,2.0,,36.0,22.0,1.0,79.0
goran-zec,Goran Zec,LB/DB,,,7.0,1.0,61.0,,,11.0,2.0,,38.0,,,,,,,,,,,,,,,,,,
guillermo-bahillo,Guillermo Bahillo,,,,,,2.0,,,4.0,,,,,,,,,,,,,,,,,,,,,
hamsa-el-zein,Hamsa El-Zein,DL,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
hannes-darley,Hannes Darley,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,
hendrik-schwarz,Hendrik Schwarz,WR,,,,,,1.0,1.0,12.0,1.0,,19.0,,,,,,7.0,3.0,,,,37.0,1471.0,30.0,6.0,320.0,1.0,,3.0
henning-knuth,Henning Knuth,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
hiller-tuna,Hiller Tuna,LB,,1.0,,1.5,18.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
hiswill-awuah,Hiswill Awuah,DL/LB,,1.0,,1.0,15.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
hubert-ogrodowczyk,Hubert Ogrodowczyk,LB,,,4.0,3.5,78.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
igor-maslanka,Igor Mašlanka,TE/WR,,,,,8.0,,,11.0,,,,,,,,,,,,,,,,6.0,,30.0,,,
iiro-pekkarinen,Iiro Pekkarinen,LB,,,8.0,,29.0,,,9.0,,,,,,,,,,,1.0,,1.0,,,,,,,,
